t000001 S24A_57_S0261
t000138 S3LE_2577_S0336
t000139 S3LE_2762_S0336
t000140 S3LE_2940_S0336
t000141 S3LE_2960_S0336
t000142 S3LE_2987_S0336
t000143 S3LE_2999_S0336
t000144 S3LE_3043_S0336
t000145 S3LE_3047_S0336
t000146 S3LE_3133_S0336
t000147 S3LE_3135_S0336
t000148 S3LE_3158_S0336
t000149 S3LE_3181_S0336
t000150 S3LE_3191_S0336
t000151 S3M4_202_S0525
t000152 S3M4_238_S0525
t000153 S3M4_448_S0525
t000154 S3QD_723_S0405
t000155 S3RZ_51_S0024
t000156 S3YZ_185_S0086
t000157 S3YZ_539_S0086
t000158 S3YZ_952_S0086
t000159 S3YZ_1203_S0086
t000160 S3YZ_1242_S0086
t000161 S3YZ_1248_S0086
t000162 S457_158_S0525
t000163 S457_640_S0525
t000164 S457_651_S0525
t000165 S457_653_S0525
t000166 S457_661_S0525
t000167 S46J_1_S0653
t000168 S46J_3_S0653
t000169 S46J_46_S0653
t000170 S46J_284_S0653
t000171 S46Q_1852_S0492
t000172 S4C2_423_S0325
t000173 S4C2_425_S0325
t000174 S4D8_416_S0432
t000175 S4D8_467_S0432
t000176 S4K7_901_S0255
t000177 S4L9_318_S0018
t000178 S4MF_152_S0024
t000179 S4MV_58_S0607
t000180 S4RF_270_S0018
t000181 S4TV_3687_S0571
t000182 S4TV_4080_S0571
t000183 S4VJ_8_S0247
t000184 S4VJ_10_S0247
t000185 S4VJ_150_S0247
t000186 S4W8_275_S0320
t000187 S4WJ_563_S0439
t000188 S4WJ_926_S0439
t000189 S4YQ_246_S0254
t000190 S4YQ_667_S0254
t000191 S4YQ_708_S0254
t000192 S4ZA_59_S0275
t000193 S4ZT_91_S0262
t000194 S4ZT_99_S0262
t000195 S539_394_S0255
t000196 S55M_312_S0598
t000197 S55M_455_S0598
t000198 S55M_869_S0598
t000199 S55M_1786_S0598
t000200 S55M_1850_S0598
t000201 S55M_2003_S0598
t000202 S59W_427_S0012
t000203 S5B4_166_S0024
t000204 S5B6_233_S0198
t000205 S5DJ_419_S0275
t000206 S5DJ_439_S0275
t000207 S5ER_147_S0015
t000208 S5ER_179_S0015
t000209 S5ER_381_S0015
t000210 S5ER_455_S0015
t000211 S5ER_558_S0015
t000212 S5ER_630_S0015
t000213 S5ER_642_S0015
t000214 S5ER_646_S0015
t000215 S5ER_660_S0015
t000216 S5HH_329_S0063
t000217 S5JX_100_S0619
t000218 S5LP_1250_S0246
t000219 S5P8_30_S0123
t000220 S5P8_92_S0123
t000221 S5QP_21_S0687
t000222 S5XD_393_S0192
t000223 S5XD_578_S0192
t000224 S5XD_772_S0192
t000225 S5XD_853_S0192
t000226 S5XD_903_S0192
t000227 S5XD_1115_S0192
t000228 S5XD_1205_S0192
t000229 S5XD_1237_S0192
t000230 S5XD_1263_S0192
t000231 S5XD_1273_S0192
t000232 S5XD_1625_S0192
t000233 S5XD_2120_S0192
t000234 S5YC_277_S0439
t000235 S5YC_317_S0439
t000236 S63L_261_S0261
t000237 S63L_553_S0261
t000238 S63L_567_S0261
t000239 S63L_601_S0261
t000240 S63L_615_S0261
t000241 S63L_655_S0261
t000242 S63L_659_S0261
t000243 S63L_673_S0261
t000244 S63L_775_S0261
t000245 S64H_1125_S0255
t000246 S66E_17_S0405
t000247 S68E_508_S0457
t000248 S69V_421_S0269
t000249 S6A5_49_S0152
t000250 S6A5_76_S0152
t000251 S6A5_222_S0152
t000252 S6A5_368_S0152
t000253 S6A5_547_S0152
t000254 S6A5_580_S0152
t000255 S6A5_582_S0152
t000256 S6A5_827_S0152
t000257 S6A7_177_S0439
t000258 S6A7_203_S0439
t000259 S6AP_15_S0281
t000260 S6AZ_225_S0653
t000261 S6GC_232_S0086
t000262 S6GC_298_S0086
t000263 S6J2_778_S0041
t000264 S6J2_820_S0041
t000265 S6JL_480_S0530
t000266 S6JP_2183_S0352
t000267 S6MQ_73_S0104
t000268 S6PD_593_S0653
t000269 S6Q6_107_S0595
t000270 S6Q6_190_S0595
t000271 S6R4_165_S0092
t000272 S6R4_279_S0092
t000273 S6R4_327_S0092
t000274 S6R4_369_S0092
t000275 S6R4_399_S0092
t000276 S6R4_635_S0092
t000277 S6R4_641_S0092
t000278 S6R4_753_S0092
t000279 S6R4_785_S0092
t000280 S6R4_793_S0092
t000281 S6R4_831_S0092
t000282 S6W8_1409_S0493
t000283 S6W8_2755_S0493
t000284 S6YA_1383_S0012
t000285 S6YA_1515_S0012
t000286 S72E_60_S0510
t000287 S72Q_445_S0058
t000288 S72Q_503_S0058
t000289 S72Q_650_S0058
t000290 S73U_168_S0525
t000291 S73U_189_S0525
t000292 S73U_199_S0525
t000293 S73U_274_S0525
t000294 S73U_708_S0525
t000295 S74A_336_S0653
t000296 S74A_348_S0653
t000297 S784_1296_S0555
t000298 S784_1422_S0555
t000299 S784_1523_S0555
t000300 S784_1555_S0555
t000301 S78P_1154_S0493
t000302 S7A6_736_S0268
t000303 S7FK_574_S0517
t000304 S7FK_716_S0517
t000305 S7FK_720_S0517
t000306 S7FK_802_S0517
t000307 S7FK_812_S0517
t000308 S7GJ_563_S0084
t000309 S7GJ_571_S0084
t000310 S7GJ_702_S0084
t000311 S7GJ_3167_S0084
t000312 S7GJ_3185_S0084
t000313 S7GJ_3193_S0084
t000314 S7GJ_3273_S0084
t000315 S7GW_1_S0618
t000316 S7GW_21_S0618
t000317 S7GW_35_S0618
t000318 S7GW_64_S0618
t000319 S7GW_72_S0618
t000320 S7GW_106_S0618
t000321 S7HR_269_S0619
t000322 S7JG_1277_S0084
t000323 S7JG_2394_S0084
t000324 S7JH_1240_S0192
t000325 S7JH_1275_S0192
t000326 S7JH_1338_S0192
t000327 S7JH_1927_S0192
t000328 S7JH_2247_S0192
t000329 S7JH_2249_S0192
t000330 S7JH_2253_S0192
t000331 S7JH_2374_S0192
t000332 S7JH_2380_S0192
t000333 S7JS_350_S0519
t000334 S7K2_95_S0281
t000335 S7K2_207_S0281
t000336 S7KD_487_S0432
t000337 S7KK_169_S0271
t000338 S7KK_1410_S0271
t000339 S7KK_1431_S0271
t000340 S7KK_1753_S0271
t000341 S7LN_63_S0136
t000342 S7LN_81_S0136
t000343 S7MF_259_S0439
t000344 S7NH_189_S0083
t000345 S7NV_435_S0529
t000346 S7PU_39_S0505
t000347 S7QU_56_S0114
t000348 S7QU_60_S0114
t000349 S7QU_92_S0114
t000350 S7QU_118_S0114
t000351 S7QU_166_S0114
t000352 S7QY_297_S0264
t000353 S7RW_1_S0540
t000354 S7RW_457_S0540
t000355 S7RW_1346_S0540
t000356 S7S2_86_S0202
t000357 S7S2_88_S0202
t000358 S7S2_100_S0202
t000359 S7SU_171_S0084
t000360 S7SU_173_S0084
t000361 S7SU_785_S0084
t000362 S7SU_845_S0084
t000363 S7SU_1249_S0084
t000364 S7SU_1259_S0084
t000365 S7SU_1329_S0084
t000366 S7SU_1434_S0084
t000367 S7SU_1683_S0084
t000368 S7SU_2073_S0084
t000369 S7SU_2079_S0084
t000370 S7SU_2403_S0084
t000371 S7SU_2525_S0084
t000372 S7SX_67_S0202
t000373 S7SX_71_S0202
t000374 S7SZ_377_S0262
t000375 S7SZ_417_S0262
t000376 S7SZ_421_S0262
t000377 S7SZ_575_S0262
t000378 S7SZ_583_S0262
t000379 S7SZ_585_S0262
t000380 S7SZ_1199_S0262
t000381 S7SZ_1201_S0262
t000382 S7VD_218_S0510
t000383 S7VD_284_S0510
t000384 S7VD_300_S0510
t000385 S7VD_318_S0510
t000386 S7WR_96_S0654
t000387 S7Z8_3_S0084
t000388 S8B9_68_S0453
t000389 S8B9_94_S0453
t000390 S8B9_250_S0453
t000391 S8B9_272_S0453
t000392 S8B9_412_S0453
t000393 S8B9_456_S0453
t000394 S8B9_1521_S0453
t000395 S8B9_1677_S0453
t000396 S8B9_1735_S0453
t000397 S8BQ_1148_S0558
t000398 S8BQ_1162_S0558
t000399 S8CB_155_S0593
t000400 S8CB_159_S0593
t000401 S8CB_215_S0593
t000402 S8CB_790_S0593
t000403 S8CV_196_S0689
t000404 S8CW_37_S0262
t000405 S8CW_45_S0262
t000406 S8CW_125_S0262
t000407 S8CW_157_S0262
t000408 S8CW_206_S0262
t000409 S8CW_212_S0262
t000410 S8CW_265_S0262
t000411 S8CW_339_S0262
t000412 S8CW_341_S0262
t000413 S8CW_347_S0262
t000414 S8CW_353_S0262
t000415 S8CW_429_S0262
t000416 S8CW_457_S0262
t000417 S8CW_467_S0262
t000418 S8CW_483_S0262
t000419 S8CW_487_S0262
t000420 S8J6_813_S0037
t000421 S8LG_194_S0653
t000422 S8LG_285_S0653
t000423 S8LS_80_S0060
t000424 S8LS_239_S0060
t000425 S8LS_245_S0060
t000426 S8LS_259_S0060
t000427 S8LS_267_S0060
t000428 S8LS_928_S0060
t000429 S8LS_996_S0060
t000430 S8LS_998_S0060
t000431 S8LS_1008_S0060
t000432 S8LS_1045_S0060
t000433 S8LS_1075_S0060
t000434 S8LS_1086_S0060
t000435 S8LS_1106_S0060
t000436 S8LS_1122_S0060
t000437 S8LS_1128_S0060
t000438 S8LS_1132_S0060
t000439 S8LS_1216_S0060
t000440 S8LS_1218_S0060
t000441 S8LS_1228_S0060
t000442 S8LS_1232_S0060
t000443 S8LS_1382_S0060
t000444 S8LS_1626_S0060
t000445 S8NX_807_S0269
t000446 S8PT_348_S0204
t000447 S8PT_427_S0204
t000448 S8PT_503_S0204
t000449 S8Q3_27_S0416
t000450 S8Q3_105_S0416
t000451 S8RY_24_S0208
t000452 S8RY_34_S0208
t000453 S8RY_100_S0208
t000454 S8RY_132_S0208
t000455 S8RY_172_S0208
t000456 S8RY_184_S0208
t000457 S8RY_186_S0208
t000458 S8RY_200_S0208
t000459 S8S2_141_S0202
t000460 S8U5_197_S0405
t000461 S8U5_445_S0405
t000462 S8VZ_63_S0208
t000463 S8VZ_95_S0208
t000464 S8WS_58_S0460
t000465 S8WS_234_S0460
t000466 S8WS_308_S0460
t000467 S8WS_322_S0460
t000468 S8WS_387_S0460
t000469 S8WS_391_S0460
t000470 S8X7_38_S0041
t000471 S8X7_44_S0041
t000472 S8X7_99_S0041
t000473 S8X7_280_S0041
t000474 S8X7_305_S0041
t000475 S8X7_737_S0041
t000476 S8X7_1220_S0041
t000477 S8X7_1227_S0041
t000478 S8X7_1257_S0041
t000479 S8X7_1347_S0041
t000480 S8X7_1353_S0041
t000481 S8X7_1399_S0041
t000482 S8X7_1547_S0041
t000483 S8X7_1760_S0041
t000484 S8XE_14_S0510
t000485 S8XE_94_S0510
t000486 S8YL_262_S0012
t000487 S94Z_467_S0561
t000488 S95D_218_S0018
t000489 S95D_362_S0018
t000490 S95D_441_S0018
t000491 S968_1339_S0493
t000492 S968_1561_S0493
t000493 S97B_7_S0262
t000494 S9B9_280_S0013
t000495 S9B9_796_S0013
t000496 S9E6_159_S0380
t000497 S9E6_590_S0380
t000498 S9EP_203_S0355
t000499 S9EP_213_S0355
t000500 S9EP_219_S0355
t000501 S9ER_566_S0517
t000502 S9ER_730_S0517
t000503 S9GP_817_S0326
t000504 S9GP_1018_S0326
t000505 S9RV_294_S0309
t000506 S9UA_128_S0653
t000507 S9VA_121_S0170
t000508 S9VB_19_S0421
t000509 S9WB_213_S0108
t000510 S9WZ_94_S0558
t000511 S9WZ_428_S0558
t000512 S9X9_313_S0282
t000513 S9X9_435_S0282
t000514 S9X9_750_S0282
t000515 S9YG_288_S0618
t000516 S9YG_493_S0618
t000517 S9ZP_432_S0015
t000518 S9ZP_446_S0015
t000519 S9ZP_491_S0015
t000520 S9ZP_499_S0015
t000521 SA2J_2116_S0525
t000522 SA2J_2188_S0525
t000523 SA2J_2335_S0525
t000524 SA4W_7_S0261
t000525 SA4W_15_S0261
t000526 SA4W_35_S0261
t000527 SA4W_45_S0261
t000528 SA69_743_S0262
t000529 SA69_807_S0262
t000530 SA69_881_S0262
t000531 SA69_965_S0262
t000532 SA6K_414_S0262
t000533 SA6K_448_S0262
t000534 SA6K_471_S0262
t000535 SA6K_526_S0262
t000536 SA6K_636_S0262
t000537 SA88_851_S0382
t000538 SAAB_707_S0520
t000539 SAAF_308_S0653
t000540 SAB7_71_S0104
t000541 SABT_107_S0037
t000542 SABT_309_S0037
t000543 SABT_319_S0037
t000544 SADE_251_S0653
t000545 SAG4_97_S0448
t000546 SAG4_133_S0448
t000547 SAG4_149_S0448
t000548 SAG4_216_S0448
t000549 SAG4_712_S0448
t000550 SAMQ_1_S0202
t000551 SAQD_423_S0012
t000552 SAR5_779_S0202
t000553 SAR5_781_S0202
t000554 SAR5_951_S0202
t000555 SAR5_1115_S0202
t000556 SAR5_1827_S0202
t000557 SASC_714_S0511
t000558 SASQ_294_S0429
t000559 SASQ_433_S0429
t000560 SAT9_276_S0058
t000561 SAT9_286_S0058
t000562 SAUJ_33_S0483
t000563 SAUR_699_S0192
t000564 SAUR_4282_S0192
t000565 SAVN_247_S0687
t000566 SAVW_123_S0421
t000567 SAVW_379_S0421
t000568 SAVW_2072_S0421
t000569 SAZ8_135_S0175
t000570 SAZ8_183_S0175
t000571 SAZ8_185_S0175
t000572 SB49_131_S0282
t000573 SB4D_510_S0192
t000574 SB4D_531_S0192
t000575 SB4D_626_S0192
t000576 SB4D_987_S0192
t000577 SB4D_1023_S0192
t000578 SB4D_1027_S0192
t000579 SB4D_1160_S0192
t000580 SB4D_1171_S0192
t000581 SB4D_1946_S0192
t000582 SB4D_1948_S0192
t000583 SB4D_1950_S0192
t000584 SB4D_1952_S0192
t000585 SB4D_2043_S0192
t000586 SB4D_2045_S0192
t000587 SB4D_2263_S0192
t000588 SB4D_2317_S0192
t000589 SB4D_2319_S0192
t000590 SB4D_2339_S0192
t000591 SB4D_2351_S0192
t000592 SB4D_2365_S0192
t000593 SB5E_24_S0530
t000594 SB7R_210_S0525
t000595 SBBP_171_S0314
t000596 SBCL_581_S0415
t000597 SBEV_217_S0336
t000598 SBEV_219_S0336
t000599 SBEV_241_S0336
t000600 SBEV_255_S0336
t000601 SBEV_276_S0336
t000602 SBEV_290_S0336
t000603 SBEV_320_S0336
t000604 SBEV_328_S0336
t000605 SBG4_74_S0415
t000606 SBG4_78_S0415
t000607 SBG4_84_S0415
t000608 SBG4_162_S0415
t000609 SBG4_486_S0415
t000610 SBG4_614_S0415
t000611 SBKM_415_S0104
t000612 SBM6_3202_S0328
t000613 SBM6_3204_S0328
t000614 SBM6_3631_S0328
t000615 SBNC_157_S0653
t000616 SBQ6_454_S0517
t000617 SBQ6_1170_S0517
t000618 SBQ6_1194_S0517
t000619 SBQ6_1206_S0517
t000620 SBQ6_1284_S0517
t000621 SBS5_91_S0486
t000622 SBSJ_45_S0041
t000623 SBSJ_130_S0041
t000624 SBSJ_193_S0041
t000625 SBSJ_205_S0041
t000626 SBTC_1070_S0199
t000627 SBUN_140_S0456
t000628 SBVQ_30_S0049
t000629 SBVQ_790_S0049
t000630 SBVQ_1336_S0049
t000631 SBZ7_1338_S0543
t000632 SC3M_572_S0440
t000633 SC67_1137_S0627
t000634 SC67_1187_S0627
t000635 SCA5_321_S0024
t000636 SCG9_51_S0653
t000637 SCG9_62_S0653
t000638 SCG9_85_S0653
t000639 SCG9_135_S0653
t000640 SCG9_296_S0653
t000641 SCG9_321_S0653
t000642 SCG9_617_S0653
t000643 SCJL_1_S0078
t000644 SCJL_11_S0078
t000645 SCJL_13_S0078
t000646 SCJL_17_S0078
t000647 SCJL_23_S0078
t000648 SCJL_25_S0078
t000649 SCJL_31_S0078
t000650 SCJL_37_S0078
t000651 SCJL_43_S0078
t000652 SCJL_47_S0078
t000653 SCJL_49_S0078
t000654 SCJL_55_S0078
t000655 SCJL_61_S0078
t000656 SCJL_65_S0078
t000657 SCJL_77_S0078
t000658 SCPC_388_S0369
t000659 SCPC_450_S0369
t000660 SCPC_1502_S0369
t000661 SCPR_60_S0439
t000662 SCPR_652_S0439
t000663 SCPR_798_S0439
t000664 SCPR_1014_S0439
t000665 SCQF_865_S0623
t000666 SCWJ_67_S0518
t000667 SCWJ_87_S0518
t000668 SCWJ_93_S0518
t000669 SCWJ_135_S0518
t000670 SCWJ_183_S0518
t000671 SCWJ_345_S0518
t000672 SCWJ_577_S0518
t000673 SCWJ_591_S0518
t000674 SCWJ_613_S0518
t000675 SCWJ_653_S0518
t000676 SCWJ_731_S0518
t000677 SCWJ_733_S0518
t000678 SCWJ_735_S0518
t000679 SCXU_389_S0058
t000680 SCXU_589_S0058
t000681 SCXU_595_S0058
t000682 SCYY_4_S0037
t000683 SD2R_1679_S0012
t000684 SD3R_358_S0344
t000685 SD3R_491_S0344
t000686 SD3R_524_S0344
t000687 SD3R_679_S0344
t000688 SD3R_814_S0344
t000689 SD3R_1748_S0344
t000690 SD3R_1895_S0344
t000691 SD3R_1902_S0344
t000692 SD3R_2122_S0344
t000693 SD68_118_S0037
t000694 SD68_168_S0037
t000695 SD68_204_S0037
t000696 SD68_228_S0037
t000697 SD6X_52_S0058
t000698 SD6X_1731_S0058
t000699 SD6X_1743_S0058
t000700 SD6X_1838_S0058
t000701 SD6X_1844_S0058
t000702 SD6X_1854_S0058
t000703 SD6X_1924_S0058
t000704 SD9H_502_S0439
t000705 SDA8_452_S0383
t000706 SDA8_525_S0383
t000707 SDAJ_191_S0041
t000708 SDAJ_215_S0041
t000709 SDHU_117_S0238
t000710 SDHU_682_S0238
t000711 SDJ9_8_S0015
t000712 SDJ9_16_S0015
t000713 SDJ9_24_S0015
t000714 SDJ9_222_S0015
t000715 SDJ9_224_S0015
t000716 SDJ9_226_S0015
t000717 SDJ9_232_S0015
t000718 SDJ9_234_S0015
t000719 SDJ9_468_S0015
t000720 SDJ9_480_S0015
t000721 SDJ9_488_S0015
t000722 SDJ9_514_S0015
t000723 SDJ9_526_S0015
t000724 SDJ9_528_S0015
t000725 SDJ9_530_S0015
t000726 SDJ9_546_S0015
t000727 SDJ9_548_S0015
t000728 SDJ9_552_S0015
t000729 SDJ9_556_S0015
t000730 SDJA_707_S0383
t000731 SDJA_709_S0383
t000732 SDJA_1017_S0383
t000733 SDJA_1143_S0383
t000734 SDJL_379_S0198
t000735 SDJL_381_S0198
t000736 SDLP_11_S0326
t000737 SDN3_146_S0432
t000738 SDN3_150_S0432
t000739 SDN3_192_S0432
t000740 SDN3_215_S0432
t000741 SDN3_227_S0432
t000742 SDN3_253_S0432
t000743 SDQ8_344_S0653
t000744 SDQ8_346_S0653
t000745 SDQG_111_S0329
t000746 SDQG_512_S0329
t000747 SDUM_73_S0520
t000748 SDUM_460_S0520
t000749 SDUM_485_S0520
t000750 SDUM_560_S0520
t000751 SDXW_1239_S0278
t000752 SDXW_1828_S0278
t000753 SDY6_209_S0439
t000754 SDY6_295_S0439
t000755 SDZC_280_S0641
t000756 SDZC_336_S0641
t000757 SE2C_104_S0439
t000758 SE2C_108_S0439
t000759 SE3W_74_S0439
t000760 SE3W_238_S0439
t000761 SE3W_400_S0439
t000762 SE3W_431_S0439
t000763 SE3Y_143_S0227
t000764 SE3Y_203_S0227
t000765 SE4X_355_S0285
t000766 SE4X_385_S0285
t000767 SE4X_389_S0285
t000768 SE4X_470_S0285
t000769 SE4X_482_S0285
t000770 SE4X_506_S0285
t000771 SE4X_571_S0285
t000772 SE4X_585_S0285
t000773 SE4X_710_S0285
t000774 SE4X_731_S0285
t000775 SE4X_798_S0285
t000776 SE4X_805_S0285
t000777 SE58_243_S0327
t000778 SE58_266_S0327
t000779 SE58_276_S0327
t000780 SE58_298_S0327
t000781 SE58_322_S0327
t000782 SE58_328_S0327
t000783 SE58_538_S0327
t000784 SE58_622_S0327
t000785 SE68_1583_S0358
t000786 SE6F_171_S0337
t000787 SE6F_173_S0337
t000788 SE6F_243_S0337
t000789 SE6F_245_S0337
t000790 SE6F_482_S0337
t000791 SE6F_520_S0337
t000792 SEBP_162_S0202
t000793 SEBP_182_S0202
t000794 SECS_28_S0439
t000795 SECS_573_S0439
t000796 SECS_838_S0439
t000797 SECS_870_S0439
t000798 SECS_1525_S0439
t000799 SEDD_42_S0325
t000800 SEDD_140_S0325
t000801 SEDD_182_S0325
t000802 SEFQ_186_S0511
t000803 SEFQ_190_S0511
t000804 SEFQ_198_S0511
t000805 SEFQ_236_S0511
t000806 SEGU_202_S0084
t000807 SEGU_297_S0084
t000808 SEGU_307_S0084
t000809 SEGU_552_S0084
t000810 SEGU_726_S0084
t000811 SEGU_804_S0084
t000812 SEGU_928_S0084
t000813 SEGU_1028_S0084
t000814 SEGU_1181_S0084
t000815 SEGU_1185_S0084
t000816 SEGU_1201_S0084
t000817 SEGU_1263_S0084
t000818 SEGU_1397_S0084
t000819 SEGU_1463_S0084
t000820 SEGU_1527_S0084
t000821 SEGU_1596_S0084
t000822 SEJ7_217_S0325
t000823 SEJ7_219_S0325
t000824 SEJT_439_S0301
t000825 SEJT_470_S0301
t000826 SEKZ_1084_S0353
t000827 SEKZ_1450_S0353
t000828 SEKZ_1832_S0353
t000829 SEPP_1432_S0424
t000830 SEPP_1556_S0424
t000831 SEPP_2972_S0424
t000832 SEYD_599_S0179
t000833 SEZB_2_S0211
t000834 SEZB_45_S0211
t000835 SEZB_47_S0211
t000836 SEZB_101_S0211
t000837 SEZB_109_S0211
t000838 SF2C_97_S0255
t000839 SF2C_135_S0255
t000840 SF2C_137_S0255
t000841 SF3V_60_S0282
t000842 SF3V_481_S0282
t000843 SF3V_609_S0282
t000844 SF3V_742_S0282
t000845 SF3V_762_S0282
t000846 SFB9_88_S0475
t000847 SFB9_513_S0475
t000848 SFER_70_S0278
t000849 SFER_737_S0278
t000850 SFER_897_S0278
t000851 SFER_899_S0278
t000852 SFG3_22_S0262
t000853 SFG3_1469_S0262
t000854 SFKJ_2_S0202
t000855 SFKJ_118_S0202
t000856 SFLB_235_S0167
t000857 SFLB_559_S0167
t000858 SFLB_727_S0167
t000859 SFLB_827_S0167
t000860 SFLB_857_S0167
t000861 SFLB_979_S0167
t000862 SFNQ_1309_S0192
t000863 SFPK_222_S0015
t000864 SFSZ_201_S0511
t000865 SFUT_2_S0482
t000866 SFXE_252_S0485
t000867 SFXE_484_S0485
t000868 SFXE_697_S0485
t000869 SFYX_103_S0486
t000870 SFYX_231_S0486
t000871 SFYX_243_S0486
t000872 SFYX_297_S0486
t000873 SFYX_303_S0486
t000874 SFYX_405_S0486
t000875 SFYX_413_S0486
t000876 SFYX_415_S0486
t000877 SFYX_445_S0486
t000878 SG3P_23_S0619
t000879 SG3Q_2959_S0026
t000880 SG56_1723_S0262
t000881 SG5Q_132_S0278
t000882 SG5Q_761_S0278
t000883 SG78_252_S0336
t000884 SG78_1026_S0336
t000885 SG78_1086_S0336
t000886 SGAN_122_S0255
t000887 SGAN_324_S0255
t000888 SGAN_585_S0255
t000889 SGAN_769_S0255
t000890 SGAN_773_S0255
t000891 SGAN_777_S0255
t000892 SGAN_785_S0255
t000893 SGAN_930_S0255
t000894 SGAN_962_S0255
t000895 SGAN_964_S0255
t000896 SGAN_966_S0255
t000897 SGAN_988_S0255
t000898 SGAN_1028_S0255
t000899 SGAN_1035_S0255
t000900 SGAN_1051_S0255
t000901 SGAN_1063_S0255
t000902 SGAN_1073_S0255
t000903 SGAN_1075_S0255
t000904 SGAN_1089_S0255
t000905 SGAW_644_S0511
t000906 SGAW_648_S0511
t000907 SGAW_1009_S0511
t000908 SGAW_1393_S0511
t000909 SGAW_2023_S0511
t000910 SGAX_129_S0037
t000911 SGAX_534_S0037
t000912 SGBC_625_S0556
t000913 SGGE_737_S0198
t000914 SGGE_793_S0198
t000915 SGGE_986_S0198
t000916 SGHZ_941_S0202
t000917 SGHZ_1233_S0202
