yeah	RB	yeah
and	CC	and
we	PP	we
were	VBD	be
opening	VBG	open
things	NNS	thing
up	RP	up
,	,	,
letting	VBG	let
light	NN	light
in	IN	in
,	,	,
sort	NN	sort
of	IN	of
transforming	VBG	transform
the	DT	the
place	NN	place
.	SENT	.
I	PP	I
dream	VBP	dream
about	IN	about
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
quite	RB	quite
often	RB	often
–	:	-
buildings	NNS	building
,	,	,
houses	NNS	house
,	,	,
me	PP	me
going	VBG	go
through	IN	through
them	PP	them
,	,	,
fixing	VBG	fix
them	PP	them
up	RP	up
,	,	,
changing	VBG	change
things	NNS	thing
.	SENT	.
In	IN	in
this	DT	this
one	CD	one
,	,	,
there	EX	there
was	VBD	be
also	RB	also
this	DT	this
slightly	RB	slightly
threatening	JJ	threatening
man	NN	man
outside	IN	outside
on	IN	on
a	DT	a
bike	NN	bike
,	,	,
kind	NN	kind
of	IN	of
hovering	VBG	hover
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
things	NNS	thing
.	SENT	.
He	PP	he
did	VBD	do
n’t	RB	n't
actually	RB	actually
come	VB	come
in	IN	in
,	,	,
but	CC	but
he	PP	he
was	VBD	be
there	RB	there
,	,	,
just	RB	just
outside	JJ	outside
,	,	,
and	CC	and
I	PP	I
was	VBD	be
aware	JJ	aware
of	IN	of
him	PP	him
.	SENT	.
Inside	RB	inside
,	,	,
though	RB	though
,	,	,
the	DT	the
focus	NN	focus
was	VBD	be
really	RB	really
on	IN	on
the	DT	the
renovating	VBG	renovate
and	CC	and
the	DT	the
light	NN	light
–	:	-
taking	VBG	take
these	DT	these
big	JJ	big
,	,	,
dark	JJ	dark
,	,	,
closed‑off	NN	<unknown>
rooms	NNS	room
and	CC	and
opening	VBG	open
them	PP	them
up	RP	up
,	,	,
decorating	VBG	decorate
,	,	,
painting	NN	painting
,	,	,
making	VBG	make
them	PP	them
bright	JJ	bright
and	CC	and
livable	JJ	livable
again	RB	again
,	,	,
with	IN	with
my	PP$	my
friends	NNS	friend
around	IN	around
me	PP	me
.	SENT	.
I	PP	I
really	RB	really
see	VBP	see
those	DT	those
houses	NNS	house
as	IN	as
parts	NNS	part
of	IN	of
my	PP$	my
psyche	NN	psyche
,	,	,
different	JJ	different
aspects	NNS	aspect
of	IN	of
myself	PP	myself
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
’m	NN	<unknown>
exploring	VBG	explore
them	PP	them
or	CC	or
renovating	VBG	renovate
them	PP	them
in	IN	in
dreams	NNS	dream
,	,	,
it	PP	it
feels	VBZ	feel
like	IN	like
I	PP	I
’m	NN	<unknown>
actually	RB	actually
working	VBG	work
on	IN	on
myself	PP	myself
at	IN	at
some	DT	some
deeper	JJR	deep
level	NN	level
–	:	-
going	VBG	go
into	IN	into
those	DT	those
old	JJ	old
,	,	,
shut‑up	JJ	<unknown>
places	NNS	place
in	IN	in
my	PP$	my
mind	NN	mind
and	CC	and
my	PP$	my
emotions	NNS	emotion
,	,	,
and	CC	and
doing	VBG	do
them	PP	them
up	RP	up
.	SENT	.
Painting	NN	painting
,	,	,
decorating	VBG	decorate
,	,	,
renovating	VBG	renovate
,	,	,
bringing	VBG	bring
light	NN	light
into	IN	into
the	DT	the
darkened	VBN	darken
rooms	NNS	room
of	IN	of
my	PP$	my
psyche	NN	psyche
–	:	-
that	WDT	that
’s	VBZ	be
exactly	RB	exactly
what	WP	what
it	PP	it
feels	VBZ	feel
like	IN	like
.	SENT	.
And	CC	and
I	PP	I
welcome	VBP	welcome
it	PP	it
,	,	,
I	PP	I
really	RB	really
do	VBP	do
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
feel	VB	feel
scared	RB	scared
of	IN	of
it	PP	it
;	:	;
it	PP	it
feels	VBZ	feel
positive	JJ	positive
and	CC	and
kind	NN	kind
of	IN	of
exciting	JJ	exciting
,	,	,
like	IN	like
a	DT	a
big	JJ	big
project	NN	project
I	CD	@card@
’m	NN	<unknown>
happy	JJ	happy
to	TO	to
be	VB	be
engaged	VBN	engage
in	IN	in
.	SENT	.
Between	IN	between
the	DT	the
kitten	NN	kitten
dreams	VBZ	dream
telling	VBG	tell
me	PP	me
to	TO	to
be	VB	be
more	RBR	more
playful	JJ	playful
and	CC	and
the	DT	the
mansion	NN	mansion
dreams	NNS	dream
about	IN	about
letting	VBG	let
light	NN	light
into	IN	into
these	DT	these
huge	JJ	huge
old	JJ	old
spaces	NNS	space
,	,	,
it	PP	it
all	RB	all
just	RB	just
feels	VBZ	feel
like	IN	like
a	DT	a
really	RB	really
good	JJ	good
,	,	,
encouraging	JJ	encouraging
sign	NN	sign
about	IN	about
where	WRB	where
I	PP	I
am	VBP	be
inside	RB	inside
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
