yeah	RB	yeah
a	DT	a
bit	NN	bit
more	RBR	more
difficult	JJ	difficult
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
I	PP	I
’ve	VBP	have
started	VBN	start
thinking	VBG	think
about	IN	about
doing	VBG	do
a	DT	a
Spartan	NP	Spartan
Race	NP	Race
.	SENT	.
The	DT	the
obstacles	NNS	obstacle
in	IN	in
that	WDT	that
are	VBP	be
properly	RB	properly
scary	JJ	scary
–	:	-
they	PP	they
look	VBP	look
really	RB	really
intimidating	JJ	intimidating
in	IN	in
the	DT	the
photos	NNS	photo
–	:	-
but	CC	but
having	VBG	have
got	VBN	get
through	IN	through
this	DT	this
one	CD	one
,	,	,
I	CD	@card@
’m	NN	<unknown>
thinking	NN	thinking
,	,	,
“	``	"
well	UH	well
,	,	,
maybe	RB	maybe
I	CD	@card@
*can*	NN	<unknown>
manage	VBP	manage
the	DT	the
next	JJ	next
step	NN	step
up	RB	up
.	SENT	.
”	''	"
So	RB	so
doing	VBG	do
this	DT	this
relaxed	VBN	relax
,	,	,
muddy	JJ	muddy
race	NN	race
,	,	,
and	CC	and
seeing	VBG	see
how	WRB	how
it	PP	it
can	MD	can
work	VB	work
for	IN	for
kids	NNS	kid
and	CC	and
for	IN	for
people	NNS	people
who	WP	who
are	VBP	be
n’t	RB	n't
very	RB	very
fit	JJ	fit
,	,	,
has	VBZ	have
actually	RB	actually
made	VBN	make
me	PP	me
feel	VBP	feel
brave	JJ	brave
enough	RB	enough
to	TO	to
try	VB	try
something	NN	something
much	RB	much
tougher	JJR	tough
.	SENT	.
It	PP	it
’s	VBZ	be
funny	JJ	funny
how	WRB	how
a	DT	a
friendly	JJ	friendly
,	,	,
easy	JJ	easy
version	NN	version
can	MD	can
give	VB	give
you	PP	you
the	DT	the
confidence	NN	confidence
to	TO	to
take	VB	take
on	IN	on
a	DT	a
big	JJ	big
,	,	,
scary	JJ	scary
Spartan	NP	Spartan
Race	NP	Race
afterwards	RB	afterwards
.	SENT	.
