during	IN	during
your	PP$	your
body	NN	body
up	RP	up
to	TO	to
the	DT	the
right	JJ	right
level	NN	level
of	IN	of
kind	NN	kind
of	IN	of
mmmetabolism	NN	mmmetabolism
and	CC	and
then	RB	then
also	RB	also
erm	JJ	<unknown>
with	IN	with
my	PP$	my
blood	NN	blood
pressure	NN	pressure
I	PP	I
was	VBD	be
going	VBG	go
cos	NN	cos
I	PP	I
did	VBD	do
n't	RB	n't
get	VB	get
on	IN	on
with	IN	with
the	DT	the
drugs	NNS	drug
so	IN	so
I	PP	I
was	VBD	be
being	VBG	be
tested	VBN	test
for	IN	for
different	JJ	different
drugs	NNS	drug
to	TO	to
contr	NN	<unknown>
try	VB	try
and	CC	and
control	VB	control
my	PP$	my
blood	NN	blood
pressure	NN	pressure
and	CC	and
every	DT	every
time	NN	time
I	PP	I
went	VBD	go
back	RB	back
I	PP	I
said	VBD	say
to	TO	to
her	PP	her
you	PP	you
know	VBP	know
I	PP	I
'm	VBP	be
still	RB	still
bleeding	VBG	bleed
?	SENT	?
and	CC	and
she	PP	she
would	MD	would
say	VB	say
oh	UH	oh
that	WDT	that
's	VBZ	be
really	RB	really
really	RB	really
strange	JJ	strange
that	IN	that
that	WDT	that
should	MD	should
have	VB	have
been	VBN	be
sorted	VBN	sort
out	RP	out
by	IN	by
now	RB	now
so	RB	so
she	PP	she
was	VBD	be
really	RB	really
definitely	RB	definitely
pinning	VBG	pin
my	PP$	my
bleeding	NN	bleeding
onto	IN	onto
my	PP$	my
thyroid	JJ	thyroid
problem	NN	problem
and	CC	and
it	PP	it
was	VBD	be
only	RB	only
after	IN	after
about	RB	about
eighteen	CD	eighteen
months	NNS	month
that	IN	that
she	PP	she
said	VBD	say
I	PP	I
think	VBP	think
you	PP	you
'd	MD	will
better	RBR	well
see	VB	see
a	DT	a
gynaecologist	NN	gynaecologist
and	CC	and
then	RB	then
I	PP	I
I	PP	I
got	VBD	get
and	CC	and
sent	VBD	send
up	RP	up
to	TO	to
and	CC	and
they	PP	they
did	VBD	do
er	JJ	<unknown>
er	NNS	<unknown>
a	DT	a
scrape	NN	scrape
so	RB	so
just	RB	just
erm	RB	<unknown>
stuck	VBN	stick
a	DT	a
a	DT	a
oh	UH	oh
a	DT	a
d	NN	d
a	DT	a
a	DT	a
kind	NN	kind
of	IN	of
swab	NN	swab
I	PP	I
suppose	VBP	suppose
through	IN	through
my	PP$	my
cervix	NN	cervix
and	CC	and
into	IN	into
my	PP$	my
womb	NN	womb
and	CC	and
just	RB	just
took	VBD	take
a	DT	a
swab	NN	swab
of	IN	of
the	DT	the
lining	NN	lining
of	IN	of
my	PP$	my
womb	NN	womb
and	CC	and
then	RB	then
erm	JJ	<unknown>
about	IN	about
a	DT	a
week	NN	week
later	RBR	later
I	PP	I
got	VBD	get
a	DT	a
call	NN	call
saying	VBG	say
you	PP	you
'd	MD	will
better	RBR	well
come	VB	come
to	TO	to
the	DT	the
hospital	NN	hospital
this	DT	this
afternoon	NN	afternoon
please	VB	please
so	IN	so
th	NN	th
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
a	DT	a
very	RB	very
very	RB	very
simple	JJ	simple
test	NN	test
for	IN	for
endometriosis	NN	endometriosis
and	CC	and
actually	RB	actually
it	PP	it
ca	MD	ca
n't	RB	n't
cost	VB	cost
that	IN	that
much	RB	much
because	IN	because
it	PP	it
's	VBZ	be
just	RB	just
as	RB	as
long	JJ	long
as	IN	as
they	PP	they
can	MD	can
get	VB	get
their	PP$	their
little	JJ	little
dibber	NN	dibber
through	IN	through
your	PP$	your
cervix	NN	cervix
