erm	NN	erm
done	VBN	do
in	IN	in
a	DT	a
formatted	VBN	format
way	NN	way
meaning	VBG	mean
we	PP	we
need	VBP	need
you	PP	you
to	TO	to
come	VB	come
and	CC	and
do	VB	do
Monday	NP	Monday
and	CC	and
then	RB	then
get	VB	get
a	DT	a
person	NN	person
to	TO	to
come	VB	come
and	CC	and
do	VB	do
Tuesday	NP	Tuesday
and	CC	and
then	RB	then
Wednesday	NP	Wednesday
and	CC	and
Thursday	NP	Thursday
it	PP	it
's	VBZ	be
not	RB	not
just	RB	just
come	VB	come
and	CC	and
ring	VB	ring
on	IN	on
our	PP$	our
door	NN	door
on	IN	on
our	PP$	our
door	NN	door
and	CC	and
say	VB	say
hey	UH	hey
and	CC	and
have	VBP	have
got	VBN	get
this	DT	this
fantastic	JJ	fantastic
idea	NN	idea
for	IN	for
a	DT	a
case	NN	case
study	NN	study
you	PP	you
're	VBP	be
like	IN	like
great	JJ	great
but	CC	but
it	PP	it
's	VBZ	be
a	DT	a
format	NN	format
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
put	VB	put
that	IN	that
into	IN	into
